A,B
0.516883333,1.296937466
0.517716667,1.545468966
0.51855,1.802009841
0.519383333,2.048872411
0.520216667,2.269839247
0.52105,2.453337113
0.521883333,2.594945331
0.522716667,2.692488333
0.52355,2.748966217
0.524383333,2.766792973
0.525216667,2.749182284
0.52605,2.702998618
0.526883333,2.636507154
0.527716667,2.557287614
0.52855,2.466124793
0.529383333,2.36410896
0.530216667,2.254627645
0.53105,2.143097421
0.531883333,2.034214636
0.532716667,1.931021611
0.53355,1.835304002
0.534383333,1.748196781
0.535216667,1.671440899
0.53605,1.605416338
0.536883333,1.548963288
0.537716667,1.500194271
0.53855,1.458249986
0.539383333,1.421826581
0.540216667,1.38942649
0.54105,1.360215247
0.541883333,1.334019005
0.542716667,1.310490072
0.54355,1.289834579
0.544383333,1.272529364
0.545216667,1.257700225
0.54605,1.243504385
